通知人,标题,日期,详情链接,附件名,附件下载次数,附件链接码
【教学运行】,关于2025-2026学年第一学期《思想道德与法治》课程期末考试安排的通知,2026-01-13,https://jwch.fzu.edu.cn/info/1036/14488.htm,2501思法随堂考.xlsx,478,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761385
【质量办】,关于举办福州大学第七十八场“教学有道”暨雕塑教学专题研讨会的通知,2026-01-12,https://jwch.fzu.edu.cn/info/1040/14485.htm,无附件,0,无
【教学运行】,关于2026届预计毕业生校对电子注册学历照片的通知,2026-01-09,https://jwch.fzu.edu.cn/info/1036/14484.htm,无附件,0,无
【教研教改】,福州大学关于征集“人工智能专题”跨校共享线上课程的通知,2026-01-08,https://jwch.fzu.edu.cn/info/1037/14483.htm,附件2：福建省高校在线教育联盟共享课程开课计划书.doc; 附件1：福课联盟[2026]1号-关于征集“人工智能专题”跨校共享线上课程的通知.pdf,355; 456,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16760851; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16760850
【教学运行】,关于2025-2026学年第一学期《线性代数》和《线性代数与解析几何》课程期末考试安排的通知,2026-01-06,https://jwch.fzu.edu.cn/info/1036/14466.htm,2501线性代数、线性代数与解析几何期末考-1.18上午.xlsx,564,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16760390
【教学运行】,关于2025-2026学年第一学期《概率论与数理统计》课程期末考试安排的通知,2026-01-06,https://jwch.fzu.edu.cn/info/1036/14465.htm,2501概率论期末考-1.11下午.xlsx,446,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16760389
【教学运行】,关于2025-2026学年第一学期《大学英语（四）》课程期末考试安排的通知,2026-01-06,https://jwch.fzu.edu.cn/info/1036/14464.htm,2501英语（四）期末考-1.11上午.xlsx,409,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16760387
【教学运行】,关于2025-2026学年第二学期本科生学期选课的通知,2026-01-05,https://jwch.fzu.edu.cn/info/1036/14463.htm,无附件,0,无
【教学运行】,关于做好期末复习考试及下学期开学等工作的通知,2026-01-04,https://jwch.fzu.edu.cn/info/1036/14451.htm,无附件,0,无
【教研教改】,福州大学关于收集线上课程资源需求的通知（2026）,2026-01-04,https://jwch.fzu.edu.cn/info/1037/14447.htm,无附件,0,无
【教学运行】,关于2025-2026学年第一学期计算机语言类课程期末考试安排的通知,2025-12-31,https://jwch.fzu.edu.cn/info/1036/14442.htm,2501计算机语言课程期末考-1.10上午.xlsx,332,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16760440
【教学运行】,关于2025-2026学年第一学期《中国近现代史纲要》课程期末考试安排的通知,2025-12-31,https://jwch.fzu.edu.cn/info/1036/14441.htm,2501史纲随堂考.xlsx,497,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16759636
